Time (days)	Supply of Oil (barrels per day)
1	60000
2	60000
3	60000
4	60000
5	60000
6	60000
7	60000
8	60000
9	60000
10	60000
11	60000
12	60000
13	60000
14	60000
15	60000
16	60000
17	60000
18	60000
19	60000
20	60000
21	60000
22	60000
23	60000
24	60000
25	60000
26	60000
27	60000
28	60000
29	60000
30	60000
31	60000
32	60000
33	60000
34	60000
35	60000
36	60000
37	60000
38	60000
39	60000
40	60000
41	60000
42	60000
43	60000
44	60000
45	60000
46	60000
47	60000
48	60000
49	60000
50	60000
51	60000
52	60000
53	60000
54	60000
55	60000
56	60000
57	60000
58	60000
59	60000
60	60000
61	60000
62	60000
63	60000
64	60000
65	60000
66	60000
67	60000
68	60000
69	60000
70	60000
71	60000
72	60000
73	60000
74	60000
75	60000
76	60000
77	60000
78	60000
79	60000
80	60000
81	60000
82	60000
83	60000
84	60000
85	60000
86	60000
87	60000
